id,source,target,value
1,azure,.net,20.933192346640457
2,sql-server,.net,32.322524219339904
3,asp.net,.net,48.40702996199019
4,entity-framework,.net,24.37090250532431
5,wpf,.net,32.35092522005943
6,linq,.net,20.501743858149066
7,wcf,.net,28.074400427611113
8,c#,.net,62.167895042923824
9,tdd,agile,37.146589924204555
10,codeigniter,ajax,23.19190040565183
11,jquery,ajax,50.56672861589973
12,mysql,ajax,24.80008942291756
13,css,ajax,26.613713724688935
14,php,ajax,28.01067925660409
15,javascript,ajax,24.39914442262329
16,json,ajax,32.94744601093195
17,cloud,amazon-web-services,21.31860679884144
18,azure,amazon-web-services,21.30994959394633
19,devops,amazon-web-services,24.98353120101788
20,docker,amazon-web-services,32.198071014100535
21,ios,android,39.77803622570551
22,android-studio,android,33.661083176336234
23,java,android,50.984730766476574
24,android,android-studio,33.661083176336234
25,typescript,angular,31.03648178393663
26,typescript,angular2,38.87998222920348
27,angularjs,angular2,26.032697164489267
28,ionic-framework,angularjs,29.840445766924983
29,reactjs,angularjs,31.62020230471286
30,mongodb,angularjs,31.510711170360768
31,css,angularjs,22.210413043130057
32,sass,angularjs,20.425878416671157
33,twitter-bootstrap,angularjs,24.153685861107462
34,javascript,angularjs,39.37662666227728
35,express,angularjs,24.43382880528071
36,node.js,angularjs,47.56352702530362
37,jquery,angularjs,30.34794743352026
38,asp.net-web-api,angularjs,20.11309966430225
39,angular2,angularjs,26.032697164489267
40,html5,angularjs,23.082664020750425
41,nginx,apache,48.583173464083416
42,mysql,apache,29.097834547698525
43,linux,apache,28.168213013158717
44,scala,apache-spark,50.79184563415286
45,hadoop,apache-spark,59.82678558413366
46,rest,api,22.175589109335288
47,.net,asp.net,48.40702996199019
48,sql,asp.net,21.6722646057341
49,sql-server,asp.net,59.67328948689907
50,c#,asp.net,80.4485421720991
51,asp.net-web-api,asp.net,47.38627215537402
52,jquery,asp.net,28.723178220098205
53,entity-framework,asp.net,48.1136690894626
54,mvc,asp.net,22.828412163028812
55,azure,asp.net,23.764072995058054
56,wpf,asp.net,28.15902333873328
57,linq,asp.net,31.581277746170855
58,wcf,asp.net,40.951421726059984
59,vb.net,asp.net,23.711346281144564
60,asp.net,asp.net-web-api,47.38627215537402
61,azure,asp.net-web-api,21.585694763313093
62,c#,asp.net-web-api,26.748821548289044
63,angularjs,asp.net-web-api,20.11309966430225
64,sql-server,asp.net-web-api,25.67647418219353
65,wcf,asp.net-web-api,28.356535431019818
66,entity-framework,asp.net-web-api,31.18349509959109
67,.net,azure,20.933192346640457
68,c#,azure,22.14448701181891
69,asp.net-web-api,azure,21.585694763313093
70,asp.net,azure,23.764072995058054
71,amazon-web-services,azure,21.30994959394633
72,linux,bash,38.88811575032741
73,shell,bash,24.71706557378606
74,git,bash,27.096957129984922
75,jquery,bootstrap,22.406154649004446
76,css,bootstrap,24.71031260188158
77,c++,c,80.89104614147385
78,python,c,22.320432253935472
79,embedded,c,28.403647769064776
80,java,c,26.04945930410044
81,linq,c#,25.222931643142886
82,sql,c#,25.613903617043626
83,asp.net,c#,80.4485421720991
84,asp.net-web-api,c#,26.748821548289044
85,entity-framework,c#,30.728425581793207
86,vb.net,c#,25.185135956324604
87,.net,c#,62.167895042923824
88,sql-server,c#,45.91465123552504
89,xamarin,c#,24.673147548722167
90,azure,c#,22.14448701181891
91,wpf,c#,38.95749217569616
92,unity3d,c#,25.000233473145794
93,wcf,c#,29.299880033528954
94,visual-studio,c#,27.71554342863794
95,qt,c++,30.144660032562147
96,c,c++,80.89104614147385
97,java,c++,23.201095658265963
98,python,c++,24.301045666206715
99,amazon-web-services,cloud,21.31860679884144
100,mysql,codeigniter,22.596885929311604
101,jquery,codeigniter,26.729771309673538
102,laravel,codeigniter,31.658709317460826
103,php,codeigniter,37.40149646160739
104,ajax,codeigniter,23.19190040565183
105,wordpress,codeigniter,25.13313076574851
106,ajax,css,26.613713724688935
107,mysql,css,27.010622489444646
108,photoshop,css,20.855721424968042
109,jquery,css,66.67420569975171
110,html,css,126.57112712972764
111,javascript,css,75.53660009612221
112,html5,css,87.13826986156899
113,bootstrap,css,24.71031260188158
114,twitter-bootstrap,css,31.56405510257182
115,less,css,25.340535324481124
116,wordpress,css,31.264824668848835
117,angularjs,css,22.210413043130057
118,sass,css,40.96336126549837
119,php,css,51.447604909108925
120,amazon-web-services,devops,24.98353120101788
121,docker,devops,24.554202817668248
122,jenkins,devops,23.602587607535273
123,python,django,49.905942953683244
124,flask,django,42.33664313992495
125,postgresql,django,22.48925264318247
126,amazon-web-services,docker,32.198071014100535
127,go,docker,28.375405907346195
128,devops,docker,24.554202817668248
129,jenkins,docker,26.528607599809522
130,wordpress,drupal,24.919296182152596
131,maven,eclipse,25.314659453818305
132,redis,elasticsearch,29.349098676116647
133,mongodb,elasticsearch,20.22800685545149
134,c,embedded,28.403647769064776
135,.net,entity-framework,24.37090250532431
136,wpf,entity-framework,24.228201856682706
137,asp.net,entity-framework,48.1136690894626
138,sql-server,entity-framework,32.62377908692168
139,linq,entity-framework,54.00592956009751
140,wcf,entity-framework,32.81595165036012
141,asp.net-web-api,entity-framework,31.18349509959109
142,c#,entity-framework,30.728425581793207
143,vba,excel,45.26074988295236
144,excel-vba,excel,54.50523562629742
145,vba,excel-vba,49.61621727834464
146,excel,excel-vba,54.50523562629742
147,reactjs,express,31.924272588963444
148,redux,express,21.543458417676824
149,angularjs,express,24.43382880528071
150,node.js,express,58.829076622959285
151,mongodb,express,48.76806081178149
152,python,flask,25.251371861419308
153,django,flask,42.33664313992495
154,jenkins,git,23.075440145975143
155,github,git,56.20246391729147
156,bash,git,27.096957129984922
157,linux,git,27.70879277472438
158,git,github,56.20246391729147
159,docker,go,28.375405907346195
160,scala,hadoop,21.62593446217338
161,apache-spark,hadoop,59.82678558413366
162,scala,haskell,22.757440009799737
163,jsp,hibernate,39.406945985510596
164,java,hibernate,32.52356510452292
165,spring-boot,hibernate,30.232903706376273
166,maven,hibernate,34.100052024791246
167,rest,hibernate,21.646667877763228
168,web-services,hibernate,21.210956925188103
169,spring-mvc,hibernate,64.109898213092265
170,java-ee,hibernate,39.90817378554484
171,spring,hibernate,103.26828446355263
172,mysql,html,21.35568889023083
173,javascript,html,59.75548884052987
174,php,html,45.66104087971069
175,css,html,126.57112712972764
176,sass,html,23.639529235488705
177,jquery,html,44.23362023021944
178,php,html5,32.350506919162136
179,wordpress,html5,22.216440754019796
180,javascript,html5,47.00636375705097
181,angularjs,html5,23.082664020750425
182,less,html5,20.92318766828214
183,twitter-bootstrap-3,html5,22.161036413455076
184,jquery,html5,47.49277338891457
185,css,html5,87.13826986156899
186,twitter-bootstrap,html5,26.230983374393585
187,sass,html5,32.070376656092115
188,angularjs,ionic-framework,29.840445766924983
189,android,ios,39.77803622570551
190,swift,ios,87.21964246099864
191,osx,ios,30.341581071883272
192,objective-c,ios,78.75928046651394
193,iphone,ios,57.15857405623158
194,xcode,ios,46.36509077387072
195,swift,iphone,36.02337467321895
196,xcode,iphone,34.71286507120063
197,ios,iphone,57.15857405623158
198,objective-c,iphone,47.97788760375011
199,spring,java,43.954259225314345
200,c++,java,23.201095658265963
201,jsp,java,21.619803035260286
202,java-ee,java,25.116182820462374
203,android,java,50.984730766476574
204,hibernate,java,32.52356510452292
205,c,java,26.04945930410044
206,spring-mvc,java,25.041214810765112
207,spring,java-ee,39.812105148516856
208,hibernate,java-ee,39.90817378554484
209,spring-mvc,java-ee,27.964591852574834
210,java,java-ee,25.116182820462374
211,jquery,javascript,57.84183152642191
212,twitter-bootstrap,javascript,20.238823043724278
213,node.js,javascript,42.73172932305638
214,mysql,javascript,22.91619071652686
215,angularjs,javascript,39.37662666227728
216,php,javascript,47.3281575555596
217,ajax,javascript,24.39914442262329
218,reactjs,javascript,33.56735910485145
219,css,javascript,75.53660009612221
220,html,javascript,59.75548884052987
221,sass,javascript,23.782469883653217
222,html5,javascript,47.00636375705097
223,git,jenkins,23.075440145975143
224,devops,jenkins,23.602587607535273
225,maven,jenkins,33.47708077913068
226,docker,jenkins,26.528607599809522
227,json,jquery,20.62957734085586
228,html,jquery,44.23362023021944
229,wordpress,jquery,28.87017059988903
230,sass,jquery,24.68172813218768
231,asp.net,jquery,28.723178220098205
232,php,jquery,46.619090898232265
233,css,jquery,66.67420569975171
234,html5,jquery,47.49277338891457
235,ajax,jquery,50.56672861589973
236,twitter-bootstrap,jquery,36.79192549817867
237,mysql,jquery,35.71297781108102
238,angularjs,jquery,30.34794743352026
239,twitter-bootstrap-3,jquery,21.153243249312748
240,javascript,jquery,57.84183152642191
241,codeigniter,jquery,26.729771309673538
242,bootstrap,jquery,22.406154649004446
243,rest,json,25.049498396111403
244,jquery,json,20.62957734085586
245,xml,json,42.721668458812765
246,ajax,json,32.94744601093195
247,hibernate,jsp,39.406945985510596
248,java,jsp,21.619803035260286
249,spring-mvc,jsp,24.06449025192885
250,spring,jsp,30.61333985121873
251,vue.js,laravel,28.79989665496036
252,php,laravel,45.88473321024233
253,mysql,laravel,20.23026605428928
254,codeigniter,laravel,31.658709317460826
255,sass,less,60.545941127987604
256,css,less,25.340535324481124
257,html5,less,20.92318766828214
258,wcf,linq,34.58709265871981
259,sql-server,linq,20.444792111689296
260,c#,linq,25.222931643142886
261,asp.net,linq,31.581277746170855
262,entity-framework,linq,54.00592956009751
263,.net,linq,20.501743858149066
264,wpf,linq,26.468391555977576
265,bash,linux,38.88811575032741
266,git,linux,27.70879277472438
267,unix,linux,25.357412874239948
268,osx,linux,23.41281493970028
269,ubuntu,linux,29.894342585346926
270,shell,linux,21.131792917374074
271,nginx,linux,21.080478447912995
272,windows,linux,29.945400773839896
273,python,linux,21.17036044400364
274,apache,linux,28.168213013158717
275,python,machine-learning,30.27077436735024
276,r,machine-learning,23.21869703965049
277,r,matlab,20.021932698311588
278,spring-mvc,maven,24.933802259856545
279,jenkins,maven,33.47708077913068
280,eclipse,maven,25.314659453818305
281,spring,maven,39.53022984092444
282,hibernate,maven,34.100052024791246
283,express,mongodb,48.76806081178149
284,node.js,mongodb,58.65780661217398
285,reactjs,mongodb,22.3209731892725
286,postgresql,mongodb,22.855557000277642
287,mysql,mongodb,26.36926476163211
288,redis,mongodb,33.554731128787694
289,elasticsearch,mongodb,20.22800685545149
290,angularjs,mongodb,31.510711170360768
291,asp.net,mvc,22.828412163028812
292,css,mysql,27.010622489444646
293,jquery,mysql,35.71297781108102
294,mongodb,mysql,26.36926476163211
295,laravel,mysql,20.23026605428928
296,php,mysql,65.07025912410015
297,postgresql,mysql,25.909942488756776
298,javascript,mysql,22.91619071652686
299,html,mysql,21.35568889023083
300,ajax,mysql,24.80008942291756
301,apache,mysql,29.097834547698525
302,codeigniter,mysql,22.596885929311604
303,linux,nginx,21.080478447912995
304,redis,nginx,27.473141406934243
305,apache,nginx,48.583173464083416
306,javascript,node.js,42.73172932305638
307,reactjs,node.js,55.192747551978705
308,express,node.js,58.829076622959285
309,angularjs,node.js,47.56352702530362
310,mongodb,node.js,58.65780661217398
311,react-native,node.js,22.16325031188543
312,redux,node.js,23.40192325369395
313,xcode,objective-c,43.41882511710604
314,iphone,objective-c,47.97788760375011
315,swift,objective-c,79.08853577916759
316,ios,objective-c,78.75928046651394
317,osx,objective-c,24.763189829170084
318,sql,oracle,21.82760476470736
319,plsql,oracle,45.06151433906438
320,windows,osx,20.860246776482484
321,objective-c,osx,24.763189829170084
322,ios,osx,30.341581071883272
323,linux,osx,23.41281493970028
324,regex,perl,21.364077886249937
325,css,photoshop,20.855721424968042
326,css,php,51.447604909108925
327,laravel,php,45.88473321024233
328,wordpress,php,41.03704549651282
329,jquery,php,46.619090898232265
330,javascript,php,47.3281575555596
331,ajax,php,28.01067925660409
332,html,php,45.66104087971069
333,mysql,php,65.07025912410015
334,html5,php,32.350506919162136
335,codeigniter,php,37.40149646160739
336,oracle,plsql,45.06151433906438
337,sql,plsql,22.717442387504864
338,mysql,postgresql,25.909942488756776
339,redis,postgresql,26.28018174137368
340,ruby-on-rails,postgresql,25.69011032907274
341,mongodb,postgresql,22.855557000277642
342,django,postgresql,22.48925264318247
343,ruby,postgresql,21.79517505760149
344,windows,powershell,20.24069060325144
345,flask,python,25.251371861419308
346,c++,python,24.301045666206715
347,machine-learning,python,30.27077436735024
348,django,python,49.905942953683244
349,c,python,22.320432253935472
350,r,python,28.53574785327096
351,linux,python,21.17036044400364
352,c++,qt,30.144660032562147
353,python,r,28.53574785327096
354,matlab,r,20.021932698311588
355,machine-learning,r,23.21869703965049
356,reactjs,react-native,61.53102297253567
357,redux,react-native,25.480581476491025
358,node.js,react-native,22.16325031188543
359,node.js,reactjs,55.192747551978705
360,sass,reactjs,24.9979588147436
361,react-native,reactjs,61.53102297253567
362,redux,reactjs,65.12985505970208
363,angularjs,reactjs,31.62020230471286
364,mongodb,reactjs,22.3209731892725
365,express,reactjs,31.924272588963444
366,javascript,reactjs,33.56735910485145
367,mongodb,redis,33.554731128787694
368,nginx,redis,27.473141406934243
369,elasticsearch,redis,29.349098676116647
370,postgresql,redis,26.28018174137368
371,reactjs,redux,65.12985505970208
372,node.js,redux,23.40192325369395
373,react-native,redux,25.480581476491025
374,express,redux,21.543458417676824
375,perl,regex,21.364077886249937
376,spring,rest,26.11759862631264
377,web-services,rest,33.69066907565828
378,api,rest,22.175589109335288
379,hibernate,rest,21.646667877763228
380,json,rest,25.049498396111403
381,postgresql,ruby,21.79517505760149
382,ruby-on-rails,ruby,95.36131071220332
383,postgresql,ruby-on-rails,25.69011032907274
384,ruby,ruby-on-rails,95.36131071220332
385,jquery,sass,24.68172813218768
386,javascript,sass,23.782469883653217
387,reactjs,sass,24.9979588147436
388,html,sass,23.639529235488705
389,html5,sass,32.070376656092115
390,less,sass,60.545941127987604
391,angularjs,sass,20.425878416671157
392,css,sass,40.96336126549837
393,twitter-bootstrap,sass,20.18548801090922
394,hadoop,scala,21.62593446217338
395,haskell,scala,22.757440009799737
396,apache-spark,scala,50.79184563415286
397,testing,selenium,33.685943095200074
398,bash,shell,24.71706557378606
399,linux,shell,21.131792917374074
400,web-services,spring,20.16560629687762
401,spring-mvc,spring,63.330217313152836
402,rest,spring,26.11759862631264
403,spring-boot,spring,57.04039265671136
404,maven,spring,39.53022984092444
405,java-ee,spring,39.812105148516856
406,hibernate,spring,103.26828446355263
407,jsp,spring,30.61333985121873
408,java,spring,43.954259225314345
409,spring,spring-boot,57.04039265671136
410,hibernate,spring-boot,30.232903706376273
411,spring-mvc,spring-boot,60.61682620955685
412,maven,spring-mvc,24.933802259856545
413,java-ee,spring-mvc,27.964591852574834
414,spring,spring-mvc,63.330217313152836
415,jsp,spring-mvc,24.06449025192885
416,spring-boot,spring-mvc,60.61682620955685
417,hibernate,spring-mvc,64.109898213092265
418,java,spring-mvc,25.041214810765112
419,plsql,sql,22.717442387504864
420,sql-server,sql,24.354772917848095
421,c#,sql,25.613903617043626
422,oracle,sql,21.82760476470736
423,asp.net,sql,21.6722646057341
424,asp.net-web-api,sql-server,25.67647418219353
425,wcf,sql-server,26.29146633095843
426,vb.net,sql-server,21.788893442838376
427,.net,sql-server,32.322524219339904
428,entity-framework,sql-server,32.62377908692168
429,asp.net,sql-server,59.67328948689907
430,linq,sql-server,20.444792111689296
431,sql,sql-server,24.354772917848095
432,c#,sql-server,45.91465123552504
433,xcode,swift,48.62033486702057
434,iphone,swift,36.02337467321895
435,objective-c,swift,79.08853577916759
436,ios,swift,87.21964246099864
437,agile,tdd,37.146589924204555
438,selenium,testing,33.685943095200074
439,angularjs,twitter-bootstrap,24.153685861107462
440,html5,twitter-bootstrap,26.230983374393585
441,sass,twitter-bootstrap,20.18548801090922
442,jquery,twitter-bootstrap,36.79192549817867
443,javascript,twitter-bootstrap,20.238823043724278
444,css,twitter-bootstrap,31.56405510257182
445,jquery,twitter-bootstrap-3,21.153243249312748
446,html5,twitter-bootstrap-3,22.161036413455076
447,angular2,typescript,38.87998222920348
448,angular,typescript,31.03648178393663
449,linux,ubuntu,29.894342585346926
450,c#,unity3d,25.000233473145794
451,linux,unix,25.357412874239948
452,asp.net,vb.net,23.711346281144564
453,sql-server,vb.net,21.788893442838376
454,c#,vb.net,25.185135956324604
455,excel-vba,vba,49.61621727834464
456,excel,vba,45.26074988295236
457,c#,visual-studio,27.71554342863794
458,laravel,vue.js,28.79989665496036
459,.net,wcf,28.074400427611113
460,entity-framework,wcf,32.81595165036012
461,c#,wcf,29.299880033528954
462,sql-server,wcf,26.29146633095843
463,wpf,wcf,53.17990345536856
464,linq,wcf,34.58709265871981
465,asp.net,wcf,40.951421726059984
466,asp.net-web-api,wcf,28.356535431019818
467,rest,web-services,33.69066907565828
468,hibernate,web-services,21.210956925188103
469,spring,web-services,20.16560629687762
470,powershell,windows,20.24069060325144
471,linux,windows,29.945400773839896
472,osx,windows,20.860246776482484
473,php,wordpress,41.03704549651282
474,html5,wordpress,22.216440754019796
475,css,wordpress,31.264824668848835
476,codeigniter,wordpress,25.13313076574851
477,drupal,wordpress,24.919296182152596
478,jquery,wordpress,28.87017059988903
479,linq,wpf,26.468391555977576
480,wcf,wpf,53.17990345536856
481,entity-framework,wpf,24.228201856682706
482,c#,wpf,38.95749217569616
483,asp.net,wpf,28.15902333873328
484,.net,wpf,32.35092522005943
485,c#,xamarin,24.673147548722167
486,objective-c,xcode,43.41882511710604
487,swift,xcode,48.62033486702057
488,iphone,xcode,34.71286507120063
489,ios,xcode,46.36509077387072
490,json,xml,42.721668458812765